Solubility,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA
-3.616127121,392.51,3.9581,102.4454,23,0,0,2,17,142,0,0,0,0,0
-3.254767098,169.183,2.4055,51.9012,13,1,1,2,0,62,2,0,1,3,29.1
-2.177077944,140.569,2.1525,36.8395,9,1,0,2,1,46,1,0,0,1,17.07
-3.924409095,756.226,8.1161,200.7106,53,6,2,7,10,264,6,0,0,6,120.72
-4.662064583,422.525,2.4854,119.076,31,6,0,6,12,164,2,4,4,6,56.6
-3.123150304,118.179,2.63802,41.27,9,0,0,0,1,46,1,0,0,1,0
-3.286116314,170.252,2.6775,47.9918,12,1,1,2,4,70,0,1,1,1,37.3
-2.664548539,376.449,0.5284,96.4382,27,6,4,6,2,148,0,3,4,4,115.06
-4.396652185,218.202,3.1958,56.2325,16,1,0,3,2,80,2,0,0,2,17.07
-4.595502564,342.391,3.4972,93.502,25,5,0,5,10,132,2,0,0,2,61.83
-2.28276885,149.193,1.5651,46.1565,11,2,0,2,2,58,1,0,0,1,20.31
-2.394649969,192.258,2.5708,55.991,14,2,0,2,3,76,1,0,0,1,26.3
-1.980309796,733.002,12.05424,225.4848,54,6,6,6,0,288,6,0,0,6,121.38
-3.43023888,206.285,2.7617,60.377,15,2,0,2,3,82,1,1,1,2,21.76
-3.544059701,260.255,3.7048,61.5015,18,2,0,5,6,100,1,0,0,1,26.3
-2.320601166,154.253,2.6714,49.5078,11,1,1,1,4,64,0,0,0,0,20.23
-2.466030786,214.648,2.50032,53.9148,14,2,1,4,3,76,1,0,0,1,46.53
-2.958195047,660.282,9.3243,163.396,35,8,0,11,20,208,0,0,0,0,36.92
-3.411513885,180.556,3.3588,36.454,11,0,0,4,0,60,1,0,0,1,0
-3.513468741,228.332,2.7809,63.169,16,3,0,3,7,94,0,1,1,1,38.83
-4.4543817,218.362,3.0659,62.735,14,3,1,3,8,84,0,0,0,0,26.3
-4.287342935,136.238,3.453,45.982,10,0,0,0,0,56,0,0,1,1,0
-3.473139052,202.138,-9.132,18.635,10,6,0,10,0,48,0,0,0,0,126.38
-2.363208098,150.472,-0.6901,19.821,7,2,0,3,1,34,0,0,0,0,40.13
-3.45410264,181.235,1.0351,51.6103,13,3,3,3,4,72,1,0,0,1,52.49
-2.990876868,604.174,8.0457,144.98,31,8,0,11,14,184,0,0,0,0,36.92
-3.512942193,195.476,3.7322,46.019,10,0,0,3,1,54,1,0,0,1,0
-4.292313455,136.238,2.9987,43.752,10,0,0,0,0,56,0,3,3,3,0
-4.809134189,386.621,4.6355,116.0977,27,4,4,5,19,162,0,0,0,0,95.58
-4.63414462,258.402,3.8313,74.4838,18,3,1,3,12,108,0,0,0,0,46.53
-0.763033718,33.03,-0.6657,5.9739,2,2,2,2,0,14,0,0,0,0,46.25
-2.563625713,192.214,1.7946,53.093,14,3,0,3,5,74,1,0,0,1,35.53
-2.641819273,499.717,6.8532,143.3074,35,4,1,6,12,192,3,0,0,3,77.43
-3.552826145,184.279,3.3778,54.7688,13,1,1,2,9,76,0,0,0,0,37.3
-4.057185148,570.368,2.2511,88.6629,35,4,1,20,14,210,0,0,0,0,86.3
-4.793227892,366.505,3.659,110.6595,27,4,0,4,7,144,2,1,1,3,32.78
-4.587250025,220.356,4.5412,69.7338,16,1,1,1,7,90,1,0,0,1,20.23
-4.451139225,158.244,3.7528,55.858,12,0,0,0,2,62,1,0,0,1,0
-4.203848464,95.94,-0.0025,0,1,0,0,1,0,6,0,0,0,0,0
-4.581332511,198.306,3.6697,58.829,14,2,0,2,6,82,0,0,0,0,26.3
-4.472021768,148.249,3.29252,49.879,11,0,0,0,0,60,1,0,0,1,0
-1.445031941,128.171,1.6513,34.2108,9,1,1,2,1,52,0,1,1,1,37.3
-0.4108977358,1136.328,-14.3013,212.8884,69,26,3,38,15,340,5,0,1,6,433.56
-3.893739071,344.502,6.1152,116.138,26,2,0,2,11,134,2,0,0,2,24.72
-7.973715535,658.891,9.584,198.0616,49,8,2,8,8,256,6,0,0,6,101.88
-3.038699623,426.348,2.2001,109.5108,28,5,0,9,8,152,2,0,0,2,71.1
-3.810962795,252.364,2.6356,67.869,16,5,0,5,2,84,2,1,1,3,25.36
-2.593688492,152.237,2.2099,43.273,11,1,0,1,0,62,0,4,4,4,12.53
-0.4261364852,1026.263,-9.9498,197.2081,63,23,4,35,15,314,5,0,0,5,414.74
-3.358911212,868.35,4.1072,211.2286,58,16,3,21,20,296,5,0,0,5,246.8
-2.703174404,189.324,2.9815,55.683,12,2,0,3,5,72,0,0,0,0,20.31
-1.835797234,256.342,1.6236,66.566,18,4,0,4,8,104,0,3,3,3,43.52
-3.905464204,298.427,1.94622,85.7037,21,5,3,5,4,122,1,0,0,1,88.48
-4.141900896,502.307,-10.5546,53.5253,21,13,0,21,0,104,0,0,0,0,288.75
-1.779623135,215.168,4.3284,61.3265,15,2,0,3,0,72,3,0,0,3,30.21
-2.622959195,148.161,1.9869,42.0545,11,2,0,2,2,56,1,0,0,1,26.3
-3.739816376,192.258,2.7707,56.4815,14,2,0,2,1,76,1,0,0,1,26.3
-2.826535469,178.275,2.55602,55.7498,13,1,1,1,3,72,1,0,0,1,20.23
-3.754953216,196.29,3.2422,59.055,14,2,0,2,5,80,0,0,0,0,26.3
-2.695999804,166.264,2.3612,49.7808,12,1,1,1,2,68,0,1,3,3,20.23
-1.647141463,140.226,2.4017,41.803,10,1,0,1,0,58,0,1,1,1,17.07
-3.951518842,268.312,3.4616,78.529,20,3,0,3,6,102,2,0,0,2,35.53
-5.123168748,488.671,1.4252,120.149,29,12,4,12,16,168,0,0,0,0,105.2
-4.952868803,284.399,4.65738,87.2896,21,2,2,2,2,112,2,0,0,2,40.46
-5.47300058,891.501,18.7691,270.436,63,6,0,6,53,374,0,0,0,0,78.9
-3.823043168,186.295,3.0119,54.486,13,2,0,2,4,78,0,0,0,0,26.3
-2.650086994,116.161,-3.2584,12.1945,5,3,0,5,0,24,0,0,0,0,63.19
-1.004260454,121.183,1.95242,38.352,9,1,0,1,1,48,1,0,0,1,12.89
-2.979987205,228.332,2.3712,62.9038,16,3,1,3,3,94,0,1,1,1,46.53
-3.178447129,360.45,1.5576,95.0484,26,5,3,5,2,142,0,3,4,4,94.83
-1.427031257,622.588,-1.61776,144.5988,42,10,2,14,6,204,4,0,1,5,172.6
-4.229152992,389.835,-1.8358,17.6865,13,0,0,13,0,84,0,0,0,0,256.5
-2.95264717,206.241,2.1847,57.71,15,3,0,3,5,80,1,0,0,1,35.53
-4.151088918,338.444,3.7177,92.762,24,5,0,5,13,136,1,0,1,2,46.15
-0.1758743765,34.033,0.5857,7.032,2,0,0,1,0,14,0,0,0,0,0
-3.988526528,214.264,3.1444,63.874,16,2,0,2,5,82,2,0,0,2,18.46
-7.278038713,379.375,5.9982,112.0468,25,2,2,4,6,136,2,0,0,2,52.04
-1.439605121,591.621,1.55116,153.6725,42,8,3,11,6,208,4,0,1,5,158.49
-1.857977427,144.214,2.2874,40.9418,10,1,1,2,5,60,0,0,0,0,37.3
-4.285895804,397.89,4.4017,90.502,21,6,0,7,0,100,4,0,0,4,25.78
-4.034756761,216.664,1.8313,55.6878,14,3,1,4,1,78,1,1,1,2,49.83
-4.021753515,210.273,2.6027,57.105,15,3,0,3,6,84,0,1,1,1,43.37
-5.229282852,406.906,4.6948,111.2514,28,4,3,6,4,152,2,1,1,3,90.29
-4.772570424,136.238,2.9987,43.752,10,0,0,0,0,56,0,1,3,3,0
-4.909505216,162.381,2.6728,47.777,9,1,0,3,2,56,0,0,0,0,9.23
-2.759957367,114.041,2.0319,16.303,7,0,0,4,0,42,0,0,0,0,0
-1.886030361,146.145,1.793,42.484,11,2,0,2,0,54,2,0,0,2,30.21
-3.84649653,136.238,3.3089,45.912,10,0,0,0,1,56,0,0,1,1,0
-0.6229779303,775.969,4.72561,210.4314,54,9,0,12,16,278,5,0,0,5,124.12
-4.139133643,247.974,1.2939,15.182,3,2,0,3,0,18,0,0,0,0,0
-1.642781181,758.706,-1.0802,178.4864,52,14,0,20,9,254,4,0,2,6,229.18
-3.088778192,196.29,2.7643,54.783,14,2,0,2,1,80,0,2,2,2,26.3
-6.6197116,283.283,-3.2584,12.1945,5,3,0,5,0,26,0,0,0,0,63.19
-4.135942613,220.312,3.351,65.225,16,2,0,2,5,88,1,0,0,1,26.3
